,Segment,RFM,특징,목표,전략
0,우수 고객,"555, 545, 455, 445","최근 구매, 자주 구매하며 높은 금액을 소비하는 핵심 고객",충성도 유지 및 브랜드 홍보 촉진,"SNS 및 추천 프로그램, 멤버십 혜택 강화, 리뷰 요청 및 보상 제공"
1,충성 고객,"554, 544, 454, 553, 543, 533, 443, 433, 355, 345, 335","자주 구매하고, 높은 금액을 소비하며 브랜드 충성도가 높은 고객",유지 및 구매 확대 유도,"업셀링 및 크로스셀링 제안, 친구 초대 프로그램, 정기구독 상품 홍보"
2,잠재적 충성 고객,"551, 552, 541, 532, 531, 431, 432, 423, 352, 351","최근 구매 이력이 있으며, 잠재적으로 충성 고객으로 전환 가능성이 있는 고객",자주 구매하도록 유도,"재구매 추가 혜택 제공, 구매이력 기반 제품 추천, 멤버십 가입 유도 캠페인"
3,신규 고객,"521, 515, 522, 422, 421",최근 첫 구매를 한 고객,충성 고객으로 전환,"웰컴 이메일 캠페인, 다음 구매 할인코드 제공, SNS 팔로우 추가혜택"
4,잠재 고객,"525, 524, 523, 515, 514, 415, 315, 314, 313",구매 빈도가 낮지만 구매 가능성이 있는 고객,구매 행동을 유도,"첫 구매 할인 제공, 한정시간 프로모션, 방문기록 활용 리타겟팅"
5,관심 필요한 고객,"534, 424, 344, 334, 324, 323",구매 이력이 있으나 관심과 추가적인 관리를 필요로 하는 고객,재방문 유도 및 브랜드 관심 증대,"할인 및 제품 체험행사 초대, 포인트 소멸 알림, 재구매 쿠폰 발송"
6,잠재 휴면 고객,"312, 232, 331, 231, 222, 223",구매 빈도가 점차 감소하여 휴면 상태로 전환될 가능성이 있는 고객,재참여 유도,"재구매 혜택 캠페인, 고객 복귀 프로모션, 무료 배송 프로모션"
7,이탈 방지 필요 고객,"215, 254, 245, 244, 234, 224",이탈 가능성이 있어 구매 복귀를 유도해야 하는 고객,이탈 방지 및 재활성화,"복귀 할인 제공, 포인트 추가적립 캠페인, 최저가 보상제"
8,이탈 위험 고객,"311, 325, 243, 242, 141, 142, 113, 124","이탈 위험이 높으며, 브랜드와의 연결성이 약화된 고객",브랜드와의 연결성 회복,"재구매 쿠폰 제공, 재방문 유도 이메일, 소규모 상품 추첨"
9,휴면 고객,"223, 222, 123, 122, 212, 211",장기간 활동하지 않아 관계 회복이 필요한 고객,관계 회복 및 구매 재활성화,"과거 관심상품 광고노출, 휴면 복귀 캠페인, 이탈이유 설문조사 후 상품제공"
10,이탈 고객,"111, 112, 121, 131, 141, 151",이미 이탈한 고객,고객 복귀 유도,"복귀 이벤트 초대, 신제품 수시 정보제공, 이탈이유 설문조사 후 상품제공"
